Time,Y_G25,P_G25,I_G25,OilP_G25,Y_MX_G25,P_MX_G25,NEER_MX_G25,I_MX_G25,Y_W25,P_W25,I_W25,OIL_W25,Y_MX_W25,P_MX_W25,NEER_MX_W25,I_MX_W25,dummy_20q2,dummy_20q3
2009-Q4,4.589109455,1.229185344,0.268089805,9.649643286,2.1616537,0.542381765,0.268011546,4.5,4.600141278,1.232967265,0.268089805,9.649643286,2.16267881,0.542475692,0.268015763,4.5,0,0
2010-Q1,2.794261023,1.463107136,0.256354594,2.249663518,0.4012838,1.657884375,3.08803176,4.5,2.792165391,1.453764276,0.256354594,2.249663518,0.3981567,1.657228884,3.088031755,4.5,0,0
2010-Q2,4.611546656,1.265503399,0.435673116,2.634373486,1.1765352,0.758562256,2.716573834,4.5,4.614067987,1.289394793,0.435673116,2.634373486,1.1811404,0.75953136,2.71656532,4.5,0,0
2010-Q3,3.259534223,0.373487288,0.388080101,-2.882113129,0.8878976,0.686910217,-2.563571098,4.5,3.261367113,0.354119891,0.388080101,-2.882113129,0.8855661,0.686496977,-2.563570805,4.5,0,0
2010-Q4,0.739948164,2.024078782,0.292894596,13.59816417,0.81442589,1.097908173,1.796931975,4.5,0.734528054,2.030978235,0.292894596,13.59816417,0.81488902,1.098089338,1.796940525,4.5,0,0
2011-Q1,0.820421281,2.647982046,0.307915094,20.85634097,0.6679175,0.865885035,2.149911398,4.5,0.814905544,2.641204363,0.307915094,20.85634097,0.66606,0.86610748,2.149915537,4.5,0,0
2011-Q2,0.860878718,1.863255736,0.263306438,11.654183,0.424877884,0.583567807,1.617569524,4.5,0.866293221,1.87997737,0.263306438,11.654183,0.427990473,0.58249952,1.617563261,4.5,0,0
2011-Q3,1.151542484,0.541692196,0.29779215,-3.969080674,1.78697009,0.798539632,-4.560034462,4.5,1.156326686,0.528871426,0.29779215,-3.969080674,1.78542203,0.799295599,-4.560038386,4.5,0,0
2011-Q4,1.15118516,-0.33565463,0.479169297,-2.808665758,0.72309262,1.2099173,-8.523263166,4.5,1.154007282,-0.332662008,0.479169297,-2.808665758,0.72305063,1.210003855,-8.523264603,4.5,0,0
2012-Q1,0.518799647,0.325632,0.514143038,8.441101045,0.9765499,1.214498145,5.04247666,4.5,0.509917069,0.318151421,0.514143038,8.441101045,0.9779879,1.214582609,5.042477575,4.5,0,0
2012-Q2,0.436246443,0.176151219,0.466308852,-8.133005272,0.6670346,0.596177893,-3.490228036,4.5,0.439441235,0.189872835,0.466308852,-8.133005272,0.66654195,0.595406607,-3.490222291,4.5,0,0
2012-Q3,0.675263943,-0.227376798,0.423929015,0.967548408,0.1828435,1.500635326,3.046514237,4.5,0.675586468,-0.235419957,0.423929015,0.967548408,0.1821106,1.501153114,3.046517029,4.5,0,0
2012-Q4,-0.56509791,0.313225242,0.316995181,0.443214304,0.78154417,0.741109306,1.097699188,4.5,-0.56737577,0.315553087,0.316995181,0.443214304,0.78141798,0.741318718,1.097683645,4.5,0,0
2013-Q1,0.046012022,0.37900513,0.291669545,2.202972912,0.1037202,0.762056963,2.633163512,4,0.048580773,0.393351126,0.291669545,2.202972912,0.1039482,0.760808153,2.633176981,4,0,0
2013-Q2,1.498815429,-0.494926274,0.275017302,-8.744802495,-0.405998,1.418844707,2.070390258,4,1.493259697,-0.521893034,0.275017302,-8.744802495,-0.406593,1.420757316,2.070377473,4,0,0
2013-Q3,0.627132247,0.414995033,0.261385473,6.889700076,0.61043,0.47655662,-3.184956713,3.75,0.625644293,0.429493824,0.261385473,6.889700076,0.6109832,0.47569822,-3.184962544,3.75,0,0
2013-Q4,0.596946016,-0.20777818,0.241302652,-0.639717592,0.49526785,0.941425982,-1.366643341,3.5,0.603551412,-0.208620853,0.241302652,-0.639717592,0.49515875,0.9417499,-1.366637983,3.5,0,0
